n_threads,mine1,mine2,mine3,other1,other2,other3
5,20.37,11.90,14.85,10.20,11.02,14.38
10,8.202,8.997,11.78,8.019,9.815,9.915
15,12.65,8.676,13.64,10.12,11.01,7.531
20,7.887,9.186,8.596,8.278,7.848,11.63
25,7.906,9.322,7.513,12.34,8.769,8.289
30,8.037,6.711,7.185,5.988,6.502,6.876
35,6.242,6.089,5.731,6.227,6.171,6.320
40,6.518,7.117,7.789,6.308,6.767,7.023
45,6.597,7.840,11.66,6.553,7.092,7.022
50,7.477,6.402,6.084,7.153,6.601,6.264
55,7.795,10.02,7.055,9.024,7.418,6.037
60,7.081,9.020,7.074,10.09,9.257,7.269
65,11.56,9.156,6.739,9.256,8.772,7.922
70,8.782,7.104,10.56,7.489,9.279,6.744
