n_threads,mine1,mine2,mine3,other1,other2,other3
5,6.461,cv: C,6.486,7.740,7.452,6.462
10,5.787,8.614,8.453,6.011,9.062,8.599
15,7.064,8.585,7.983,8.714,7.641,8.744
20,9.893,8.611,8.859,10.55,6.342,13.05
25,12.08,9.600,8.162,6.593,9.568,9.009
30,10.79,7.588,10.29,9.219,7.761,7.114
35,12.97,10.16,7.891,10.32,9.864,7.834
40,6.726,7.905,6.657,7.942,8.179,7.752
45,7.680,6.991,7.061,7.681,7.798,7.310
50,7.134,7.244,6.494,8.535,6.800,9.557
55,7.985,10.91,7.609,8.972,9.419,7.096
60,7.985,8.937,10.09,6.988,10.36,8.269
65,8.657,12.22,12.20,8.011,12.42,8.683
70,7.493,9.799,7.174,7.611,10.89,7.120
