n_threads,mine1,mine2,mine3,other1,other2,other3
5,5.936,6.244,6.931,5.853,6.645,6.435
10,6.100,6.329,6.600,6.194,6.966,7.001
15,5.734,6.531,6.836,6.376,7.637,6.086
20,6.456,6.788,6.385,6.125,5.991,6.419
25,6.857,6.347,6.734,6.573,6.356,6.488
30,6.243,5.935,6.482,6.114,6.462,6.647
35,6.405,6.321,6.324,6.516,6.316,6.384
40,6.114,6.541,5.744,6.675,6.156,5.910
45,6.043,8.039,6.028,6.180,5.765,6.723
50,6.283,6.136,6.399,6.108,6.575,6.273
55,6.714,7.134,6.431,6.101,6.090,6.097
60,7.126,6.157,6.105,6.130,6.601,6.157
65,6.045,6.314,5.894,5.985,6.663,6.319
70,6.466,6.733,6.061,6.748,5.803,6.421
